;3.4;10.2;19.3;25;28;30;34;40;45.5;;;;;;;
1.6;482.1370239;518.0397949;489.3630371;;471.237793;;477.0915222;510.1554565;567.7071533;;;;;;;
4.8;;;;;;;;;;;;;;;;
5;;;;502.910553;;493.3595276;495.2009888;;522.1591187;;;;;;;
7;523.1877441;;;;;;;;;;;;;;;
10;;;;508.1947632;;;;;;;;;;;;
12;523.1877441;;;;;;;;473.6290588;;;;;;;
13;;591.428833;;;;;;;;;;;;;;
15;;;517.5188599;469.4745483;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;1.5
;3.4;10.2;19.3;25;28;30;34;40;45.5;;;;;;;
1.6;44.3049736;44.20108032;42.58230972;;41.49074936;;40.03641129;39.38730621;38.53170013;;;;;;;
4.8;;;;;;;;;;;;;;;;
5;;;;40.92254257;;40.67845535;39.11312866;;36.0786171;;;;;;;
7;41.84968185;;;;;;;;;;;;;;;
10;;;;44.65917587;;;;;;;;;;;;
12;43.24773788;;;;;;;;37.34404373;;;;;;;
13;;46.14040756;;;;;;;;;;;;;;
15;;;47.61281967;46.01608658;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;3.4;10.2;19.3;25;28;30;34;40;45.5;;;;;;;
1.6;22.75757408;22.73964691;21.98399162;;22.63825607;;23.48953438;24.03345108;24.42596626;;;;;;;
4.8;;;;;;;;;;;;;;;;
5;;;;21.98418427;;22.75419044;23.40974808;;24.71979523;;;;;;;
7;24.02488518;;;;;;;;;;;;;;;
10;;;;21.30168533;;;;;;;;;;;;
12;21.91299629;;;;;;;;24.22137833;;;;;;;
13;;20.78514481;;;;;;;;;;;;;;
15;;;20.62371635;21.05005264;;;;;;;;;;;;
